Date,Price
3/10/2015,25960
3/11/2015,25716
3/12/2015,25690
3/13/2015,25909
3/14/2015,25922
3/16/2015,25797
3/17/2015,25635
3/18/2015,25653
3/19/2015,25970
3/20/2015,26195
3/23/2015,26208
3/24/2015,26350
3/25/2015,26491
3/26/2015,26805
3/27/2015,26564
3/30/2015,26239
3/31/2015,26061
4/1/2015,26510
4/2/2015,26548
4/6/2015,26941
4/7/2015,26829
4/8/2015,26682
4/9/2015,26452
4/10/2015,26703
4/13/2015,26616
4/14/2015,26454
4/15/2015,26644
4/16/2015,26533
4/17/2015,26702
4/20/2015,26719
4/21/2015,26803
4/22/2015,26489
4/23/2015,26777
4/24/2015,26574
4/27/2015,26944
4/28/2015,27036
4/29/2015,27096
4/30/2015,26593
5/1/2015,26483
5/4/2015,26747
5/5/2015,26852
5/6/2015,26928
5/7/2015,26951
5/8/2015,26903
5/11/2015,26853
5/12/2015,27180
5/13/2015,27539
5/14/2015,27444
5/15/2015,27473
5/18/2015,27629
5/19/2015,27309
5/20/2015,27299
5/21/2015,27130
5/22/2015,27105
5/25/2015,27180
5/26/2015,26917
5/27/2015,26900
5/28/2015,26899
5/29/2015,26866
6/1/2015,26690
6/2/2015,26856
6/3/2015,26806
6/4/2015,26564
6/5/2015,26439
6/8/2015,26693
6/9/2015,26754
6/10/2015,26850
6/11/2015,26772
6/12/2015,26773
6/15/2015,26915
6/16/2015,26831
6/17/2015,26763
6/18/2015,27031
6/19/2015,26959
6/22/2015,26589
6/23/2015,26478
6/24/2015,26418
6/25/2015,26365
6/26/2015,26399
6/29/2015,26508
6/30/2015,26301
7/1/2015,26182
7/2/2015,26024
7/3/2015,26393
7/6/2015,26335
7/7/2015,26032
7/8/2015,26222
7/9/2015,26071
7/10/2015,26071
7/13/2015,26033
7/14/2015,25934
7/15/2015,25852
7/16/2015,25774
7/17/2015,25505
7/20/2015,25042
7/21/2015,24908
7/22/2015,24688
7/23/2015,24742
7/24/2015,24729
7/27/2015,24910
7/28/2015,24768
7/29/2015,24729
7/30/2015,24739
7/31/2015,24789
8/3/2015,24696
8/4/2015,24638
8/5/2015,24545
8/6/2015,24692
8/7/2015,24796
8/10/2015,25026
8/11/2015,25323
8/12/2015,25898
8/13/2015,25763
8/14/2015,25636
8/17/2015,25924
8/18/2015,25890
8/19/2015,26084
8/20/2015,26723
8/21/2015,27090
8/24/2015,27290
8/25/2015,26595
8/26/2015,26341
8/27/2015,26197
8/28/2015,26490
8/31/2015,26540
9/1/2015,26623
9/2/2015,26417
9/3/2015,26196
9/4/2015,26256
9/7/2015,26506
9/8/2015,26436
9/9/2015,26069
9/10/2015,26179
9/11/2015,25981
9/14/2015,26078
9/15/2015,25982
9/16/2015,26285
9/17/2015,26176
9/18/2015,26476
9/21/2015,26345
9/22/2015,26242
9/23/2015,26476
9/24/2015,26965
9/25/2015,26744
9/28/2015,26508
9/29/2015,26253
9/30/2015,25803
10/1/2015,25782
10/5/2015,26094
10/6/2015,26512
10/7/2015,26449
10/8/2015,26351
10/9/2015,26515
10/12/2015,26678
10/13/2015,26872
10/14/2015,27088
10/15/2015,27142
10/16/2015,27029
10/19/2015,26882
10/20/2015,26993
10/21/2015,26821
10/22/2015,26737
10/23/2015,26676
10/26/2015,26689
10/27/2015,26790
10/28/2015,26930
10/29/2015,26470
10/30/2015,26355
11/2/2015,26228
11/3/2015,25863
11/4/2015,25646
11/5/2015,25791
11/6/2015,25538
11/9/2015,25699
11/10/2015,25604
11/11/2015,25490
11/12/2015,25341
11/13/2015,25388
11/16/2015,25360
11/17/2015,25038
11/18/2015,25108
11/19/2015,25308
11/20/2015,25252
11/23/2015,25180
11/24/2015,25305
11/25/2015,25230
11/26/2015,25288
11/27/2015,25071
11/30/2015,25114
12/1/2015,25018
12/2/2015,24895
12/3/2015,25043
12/4/2015,25631
12/7/2015,25443
12/8/2015,25424
12/9/2015,25499
12/10/2015,25328
12/11/2015,25581
12/14/2015,25256
12/15/2015,25173
12/16/2015,25372
12/17/2015,24766
